Timestamp,City Name,Latitude,Longitude,FIR No.,Crime Type,Date Crime,Time Crime,Gender,Age,SafetyIndex
2019/12/12 2:21:20 PM GMT+5:30,Bandra,19.061083,72.839776,1799,Theft,08-10-2019,17:15,Male,55,2.5
2019/12/12 6:56:00 PM GMT+5:30,Dadar,19.019976,72.842542,2800,Robbery,29-11-2019,19:34,Male,22,3
2019/12/12 6:57:24 PM GMT+5:30,Dadar,19.011536,72.84546,2799,Murder,29-11-2019,19:55,Male,57,2.3
2019/12/12 6:59:01 PM GMT+5:30,Dadar,19.021436,72.834817,2799,Theft,29-11-2019,17:19,Male,44,3
2019/12/12 7:00:48 PM GMT+5:30,Dadar,19.022735,72.835332,2794,Murder,29-11-2019,19:45,Male,35,2.3
2019/12/12 7:02:11 PM GMT+5:30,Dadar,19.017379,72.845632,2793,Theft,28-11-2019,18:10,Male,56,3
2019/12/12 7:03:20 PM GMT+5:30,Dadar,19.024114,72.845803,2791,Theft,28-11-2019,18:10,Male,23,3
2019/12/12 7:04:38 PM GMT+5:30,Dadar,19.015026,72.848035,2764,Robbery,24-11-2019,15:00,Male,32,3
2019/12/12 7:05:55 PM GMT+5:30,Dadar,19.027441,72.847949,2757,Robbery,22-11-2019,22:50,Male,31,3
2019/12/12 7:14:14 PM GMT+5:30,Dadar,19.022491,72.837907,2751,Theft,21-11-2019,22:50,Male,56,3
2019/12/12 7:15:43 PM GMT+5:30,Dadar,19.014945,72.847949,2737,Robbery,20-11-2019,12:00,Female,54,3
2019/12/12 7:17:02 PM GMT+5:30,Dadar,19.01324,72.843572,2735,Robbery,19-11-2019,21:30,Male,20,3
2019/12/12 7:17:58 PM GMT+5:30,Dadar,19.019326,72.834817,2731,Theft,19-11-2019,16:30,Male,41,3
2019/12/12 7:19:19 PM GMT+5:30,Dadar,19.020138,72.842113,2715,Theft,18-11-2019,17:15,Female,35,3
2019/12/12 7:20:38 PM GMT+5:30,Dadar,19.020219,72.844258,2689,Robbery,14-11-2019,15:35,Male,25,3
2019/12/12 7:21:40 PM GMT+5:30,Dadar,19.015675,72.83928,2264,Theft,17-11-2019,13:10,Female,28,3
2019/12/12 7:24:15 PM GMT+5:30,Kurla,19.067288,72.884064,4476,Theft,29-11-2019,22:48,Male,34,2.6
2019/12/13 7:50:03 PM GMT+5:30,Kurla,19.067288,72.884064,4476,Theft,29-11-2019,22:48,Male,34,2.6
2019/12/13 7:53:37 PM GMT+5:30,Kurla ,19.064854,72.879429,4475,Robbery,29-11-2019,22:40,Female,33,2.6
2019/12/13 7:55:45 PM GMT+5:30,Kurla,19.066477,72.879515,4474,Theft,29-11-2019,20:15,Male,32,2.6
2019/12/13 7:56:59 PM GMT+5:30,Kurla,19.06526,72.87797,4466,Robbery,29-11-2019,07:50,Female,43,2.6
2019/12/13 7:59:17 PM GMT+5:30,Kurla,19.071506,72.880716,4465,Theft,28-11-2019,20:45,Male,40,2.6
2019/12/13 8:00:23 PM GMT+5:30,Kurla,19.068261,72.885351,4457,Robbery,28-11-2019,16:32,Male,34,2.6
2019/12/13 8:01:28 PM GMT+5:30,Kurla,19.063232,72.878657,4456,Theft,28-11-2019,16:20,Female,34,2.6
2019/12/13 8:02:49 PM GMT+5:30,Kurla,19.066558,72.879515,4454,Theft,28-11-2019,14:20,Male,24,2.6
2019/12/13 8:07:37 PM GMT+5:30,Kurla,19.065341,72.878056,4443,Robbery,26-11-2019,17:03,Male,33,2.6
2019/12/13 8:08:46 PM GMT+5:30,Kurla,19.057147,72.876253,4444,Theft,25-11-2019,09:30,Female,22,2.6
2019/12/13 8:11:45 PM GMT+5:30,RCF,19.038232,72.896226,459,Murder,09-11-2019,09:10,Male,29,3
2019/12/13 8:13:53 PM GMT+5:30,RCF,19.039541,72.897845,457,Robbery,07-11-2019,12:10,Male,47,3
2019/12/13 8:15:09 PM GMT+5:30,RCF,19.039652,72.896161,452,Theft,05-11-2019,12:30,Female,28,3
2019/12/13 8:16:48 PM GMT+5:30,RCF,19.039074,72.894444,451,Murder,08-11-2019,16:11,Male,49,2.2
2019/12/13 8:18:13 PM GMT+5:30,RCF,19.051609,72.881495,449,Theft,02-11-2019,20:45,Male,28,2.3
2019/12/13 8:19:38 PM GMT+5:30,RCF,19.043009,72.895914,431,Robbery,19-10-2019,11:30,Male,32,3.5
2019/12/13 8:21:08 PM GMT+5:30,RCF,19.041386,72.908102,425,Theft,16-10-2019,11:41,Male,35,3
2019/12/13 8:22:30 PM GMT+5:30,RCF,19.040413,72.902781,425,Theft,16-10-2019,08:30,Male,35,3
2019/12/13 8:24:10 PM GMT+5:30,RCF,19.036261,72.890221,410,Robbery,08-10-2019,17:35,Female,23,3
2019/12/13 8:25:51 PM GMT+5:30,RCF,19.033117,72.891551,403,Theft,07-10-2019,17:51,Male,29,3
